throughput,workload,config_id
30458.2666204716,voter-16,64
29955.7332938916,voter-2,64
24725.5439261972,ycsb-600,64
627.18925733515,tpcc-8,64
21154.1390420343,smallbank-1,64
14413.0059367739,ycsb-2400,65
711.26147231228,tpcc-2,65
12541.2884235547,smallbank-10,65
21799.2816848137,ycsb-600,65
622.465564549887,tpcc-8,65
19626.7113708625,smallbank-1,65
29384.7665941842,voter-16,65
28615.8499785381,voter-2,65
29666.7165905221,voter-16,66
28840.3332578678,voter-2,66
22750.2863194594,ycsb-600,66
20372.1199447564,smallbank-1,66
589.849653188066,tpcc-8,66
771.336973082696,tpcc-2,66
13186.0971670447,smallbank-10,66
14385.9532434381,ycsb-2400,66
12455.7082244632,smallbank-10,69
695.696820166949,tpcc-2,69
13558.1057606656,ycsb-2400,69
28791.8166311568,voter-2,69
29280.1665837062,voter-16,69
18960.4267173207,smallbank-1,69
600.994469398478,tpcc-8,69
22115.9179345775,ycsb-600,69
598.597207723605,tpcc-8,70
19231.7991799503,smallbank-1,70
22207.340586489,ycsb-600,70
28676.8666408575,voter-2,70
29452.3499774199,voter-16,70
14524.6873031468,ycsb-2400,70
12688.7143572706,smallbank-10,70
725.577189314996,tpcc-2,70
25263.2499359998,voter-2,71
24978.5832550671,voter-16,71
565.415343764387,tpcc-8,71
16112.4650231281,smallbank-1,71
19365.8729267306,ycsb-600,71
11754.228684064,smallbank-10,71
648.761886816151,tpcc-2,71
12526.1776459211,ycsb-2400,71
14826.5415617765,ycsb-2400,72
13088.3661805932,smallbank-10,72
745.465803814848,tpcc-2,72
18253.9719508913,smallbank-1,72
629.159425293345,tpcc-8,72
24069.8573457322,ycsb-600,72
29509.0333151361,voter-2,72
30021.1665921141,voter-16,72
12298.3879055604,smallbank-10,73
708.777663301034,tpcc-2,73
14633.1687630376,ycsb-2400,73
30491.7499862787,voter-2,73
29651.2332606878,voter-16,73
19792.5806586959,smallbank-1,73
604.977115570116,tpcc-8,73
22062.8454831275,ycsb-600,73
14922.61116122,ycsb-2400,74
