param_name,param_value,n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
beam_width,40.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.3623385429382324
beam_width,80.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6831912994384766
beam_width,80.0,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.6579499244689941
beam_width,80.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.6605355739593506
beam_width,160.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.4171257019042969
beam_width,160.0,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.333211898803711
beam_width,160.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,1.3366215229034424
alpha,0.1,1,0.0086021505376344,1.0,0.0043196544276457,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5787599086761475
alpha,0.1,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.4059367179870605
alpha,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.3951337337493896
alpha,0.3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.381739854812622
alpha,0.3,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.410581111907959
alpha,0.3,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.3997266292572021
alpha,0.5,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.3867661952972412
alpha,0.5,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.4126009941101074
alpha,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.4002211093902588
alpha,0.75,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.3482797145843506
alpha,0.75,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.3950121402740478
alpha,0.75,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.3884224891662597
alpha,1.0,1,0.2352044704089408,0.1332757628094415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.2059638500213623
alpha,1.0,2,0.2530054644808743,0.1448232718173287,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.3485643863677978
alpha,1.0,3,0.3151803948264125,0.187070707070707,1.0,0.2498740554156171,0.1427748992515831,1.0,1.0,1.0,1.0,11,0.3349184989929199
beam_width,20.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.1805987358093261
beam_width,20.0,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.1908118724822998
beam_width,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.1883528232574463
