config_id,workload,time,max-resident-set-size
1875,sintel_trailer_2k_720p24_short.y4m,0.4,125836.0
1811,riverbed_1080p25_short.y4m,32.68,374096.0
1707,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.22,1005988.0
2709,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,82.95,406044.0
1541,sd_city_4cif_short.y4m,5.55,40768.0
2820,blue_sky_1080p25_short.y4m,1.36,154960.0
1223,sd_city_4cif_short.y4m,14.52,150908.0
1395,pedestrian_area_1080p25_short.y4m,22.97,252276.0
2794,riverbed_1080p25_short.y4m,6.69,251028.0
957,blue_sky_1080p25_short.y4m,12.86,157624.0
974,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.16,579208.0
313,riverbed_1080p25_short.y4m,8.2,252572.0
1286,Johnny_1280x720_60_short.y4m,11.08,131956.0
202,Johnny_1280x720_60_short.y4m,26.01,302428.0
860,Johnny_1280x720_60_short.y4m,15.41,333496.0
2406,sd_bridge_close_cif_short.y4m,0.86,15484.0
2786,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.16,1105592.0
821,sd_city_4cif_short.y4m,5.04,57032.0
50,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.42,805328.0
2796,sd_bridge_close_cif_short.y4m,1.37,25116.0
1195,sd_bridge_close_cif_short.y4m,0.87,26832.0
1126,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,50.17,757548.0
591,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,34.13,809072.0
783,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,84.61,572356.0
2234,pedestrian_area_1080p25_short.y4m,21.14,154312.0
308,sd_bridge_close_cif_short.y4m,0.14,23112.0
690,sintel_trailer_2k_720p24_short.y4m,0.3,119932.0
1414,sd_bridge_close_cif_short.y4m,0.13,25784.0
341,sd_bridge_close_cif_short.y4m,0.18,23104.0
2327,sd_crew_cif_short.y4m,1.01,15408.0
1728,sd_bridge_close_cif_short.y4m,0.12,25688.0
769,riverbed_1080p25_short.y4m,6.65,157372.0
904,pedestrian_area_1080p25_short.y4m,3.86,392852.0
2129,Johnny_1280x720_60_short.y4m,12.13,328236.0
3041,blue_sky_1080p25_short.y4m,1.42,370900.0
610,sd_city_4cif_short.y4m,4.92,59148.0
925,riverbed_1080p25_short.y4m,78.7,182216.0
1056,sd_crew_cif_short.y4m,0.23,25816.0
2661,Johnny_1280x720_60_short.y4m,1.18,214120.0
1697,sd_bridge_close_cif_short.y4m,1.62,22412.0
2526,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,81.22,405988.0
2511,riverbed_1080p25_short.y4m,74.22,180348.0
1790,Johnny_1280x720_60_short.y4m,24.64,194448.0
2956,blue_sky_1080p25_short.y4m,1.23,245044.0
668,sd_city_4cif_short.y4m,4.94,55592.0
2653,sd_bridge_close_cif_short.y4m,0.09,11804.0
992,pedestrian_area_1080p25_short.y4m,29.02,157152.0
2207,sd_bridge_close_cif_short.y4m,0.16,13460.0
1667,sintel_trailer_2k_720p24_short.y4m,0.39,187868.0
1819,riverbed_1080p25_short.y4m,5.75,182084.0
2205,sd_city_4cif_short.y4m,6.06,58676.0
2583,Johnny_1280x720_60_short.y4m,31.3,58772.0
980,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,35.27,573812.0
69,pedestrian_area_1080p25_short.y4m,3.77,250772.0
2713,riverbed_1080p25_short.y4m,63.64,373508.0
619,sintel_trailer_2k_720p24_short.y4m,2.12,120100.0
1956,sd_bridge_close_cif_short.y4m,0.13,25772.0
2963,sd_bridge_close_cif_short.y4m,0.14,17088.0
313,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,754532.0
854,blue_sky_1080p25_short.y4m,31.75,250540.0
2987,riverbed_1080p25_short.y4m,6.73,371800.0
303,riverbed_1080p25_short.y4m,7.62,252576.0
2069,sd_city_4cif_short.y4m,6.32,158136.0
1010,sd_crew_cif_short.y4m,0.17,25792.0
972,sd_crew_cif_short.y4m,1.42,25216.0
1390,sd_bridge_close_cif_short.y4m,0.9,25240.0
1037,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,49.41,1105588.0
2452,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.09,1096304.0
2023,sd_bridge_close_cif_short.y4m,0.73,10876.0
743,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.78,1096356.0
2350,sd_city_4cif_short.y4m,1.15,41756.0
443,sd_bridge_close_cif_short.y4m,0.8,18784.0
2046,Johnny_1280x720_60_short.y4m,10.18,78772.0
1993,sd_city_4cif_short.y4m,5.25,58232.0
1562,riverbed_1080p25_short.y4m,4.34,271024.0
1542,sintel_trailer_2k_720p24_short.y4m,1.97,118484.0
986,sintel_trailer_2k_720p24_short.y4m,0.41,200100.0
1748,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.59,574076.0
23,sd_city_4cif_short.y4m,1.38,81032.0
3044,pedestrian_area_1080p25_short.y4m,15.68,238788.0
2716,blue_sky_1080p25_short.y4m,13.7,372220.0
415,pedestrian_area_1080p25_short.y4m,14.49,225940.0
1157,sd_city_4cif_short.y4m,0.95,41708.0
1607,pedestrian_area_1080p25_short.y4m,21.75,419276.0
2626,sd_crew_cif_short.y4m,1.85,26976.0
1573,sd_bridge_close_cif_short.y4m,0.12,27452.0
3034,sd_bridge_close_cif_short.y4m,0.11,26532.0
1926,blue_sky_1080p25_short.y4m,1.71,421376.0
205,Johnny_1280x720_60_short.y4m,2.1,303688.0
2994,blue_sky_1080p25_short.y4m,2.52,393132.0
436,sd_bridge_close_cif_short.y4m,0.92,26744.0
470,sd_crew_cif_short.y4m,1.08,15408.0
2788,Johnny_1280x720_60_short.y4m,1.04,326952.0
697,Johnny_1280x720_60_short.y4m,23.2,194384.0
2762,sd_bridge_close_cif_short.y4m,0.09,10944.0
1897,pedestrian_area_1080p25_short.y4m,3.91,396784.0
1355,sd_city_4cif_short.y4m,0.99,145964.0
2177,sd_city_4cif_short.y4m,6.29,158188.0
2959,sintel_trailer_2k_720p24_short.y4m,0.29,132308.0
3071,sintel_trailer_2k_720p24_short.y4m,0.23,125724.0
1947,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.71,817084.0
1007,riverbed_1080p25_short.y4m,3.1,156792.0
909,Johnny_1280x720_60_short.y4m,24.53,302192.0
41,sd_bridge_close_cif_short.y4m,0.68,15396.0
61,sd_crew_cif_short.y4m,0.28,23340.0
3061,sintel_trailer_2k_720p24_short.y4m,4.18,200220.0
159,pedestrian_area_1080p25_short.y4m,3.84,253848.0
1225,pedestrian_area_1080p25_short.y4m,17.24,179852.0
1050,sd_city_4cif_short.y4m,6.09,60640.0
1846,riverbed_1080p25_short.y4m,7.82,251524.0
545,pedestrian_area_1080p25_short.y4m,17.42,227764.0
2887,sd_city_4cif_short.y4m,0.5,58920.0
304,sd_crew_cif_short.y4m,0.17,22528.0
464,sd_crew_cif_short.y4m,1.05,15272.0
114,pedestrian_area_1080p25_short.y4m,3.36,98096.0
1433,sd_bridge_close_cif_short.y4m,0.75,20596.0
2110,riverbed_1080p25_short.y4m,2.98,224188.0
2977,sd_city_4cif_short.y4m,7.98,63540.0
1977,pedestrian_area_1080p25_short.y4m,31.34,369544.0
1485,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.24,1098404.0
65,sd_bridge_close_cif_short.y4m,0.14,23104.0
2241,sd_city_4cif_short.y4m,7.55,25924.0
