time,workload,config_id
3.23,single-channel.wav,18
8.12,speech.wav,18
0.82,sweep.wav,18
4.76,beethoven.wav,19
1.78,dual-channel.wav,19
2.97,helix.wav,19
1.12,single-channel.wav,19
2.34,speech.wav,19
0.38,sweep.wav,19
11.53,beethoven.wav,20
3.11,dual-channel.wav,20
5.5,helix.wav,20
2.02,single-channel.wav,20
5.69,speech.wav,20
0.53,sweep.wav,20
3.65,beethoven.wav,21
1.25,dual-channel.wav,21
2.16,helix.wav,21
0.84,single-channel.wav,21
1.55,speech.wav,21
0.33,sweep.wav,21
6.92,beethoven.wav,22
4.1,dual-channel.wav,22
7.46,helix.wav,22
2.13,single-channel.wav,22
5.32,speech.wav,22
0.56,sweep.wav,22
2.04,beethoven.wav,23
0.86,dual-channel.wav,23
1.41,helix.wav,23
0.57,single-channel.wav,23
0.85,speech.wav,23
0.28,sweep.wav,23
8.85,beethoven.wav,24
3.0,dual-channel.wav,24
4.91,helix.wav,24
1.67,single-channel.wav,24
4.39,speech.wav,24
0.53,sweep.wav,24
10.17,beethoven.wav,25
2.12,dual-channel.wav,25
3.12,helix.wav,25
2.04,single-channel.wav,25
4.86,speech.wav,25
0.56,sweep.wav,25
9.66,beethoven.wav,26
2.1,dual-channel.wav,26
3.14,helix.wav,26
1.97,single-channel.wav,26
4.69,speech.wav,26
0.56,sweep.wav,26
16.21,beethoven.wav,27
5.8,dual-channel.wav,27
12.4,helix.wav,27
3.31,single-channel.wav,27
6.74,speech.wav,27
0.88,sweep.wav,27
17.27,beethoven.wav,28
5.46,dual-channel.wav,28
9.63,helix.wav,28
3.84,single-channel.wav,28
10.0,speech.wav,28
0.87,sweep.wav,28
19.51,beethoven.wav,29
4.65,dual-channel.wav,29
7.81,helix.wav,29
2.42,single-channel.wav,29
6.82,speech.wav,29
0.83,sweep.wav,29
11.06,beethoven.wav,30
2.93,dual-channel.wav,30
5.42,helix.wav,30
1.93,single-channel.wav,30
4.48,speech.wav,30
0.49,sweep.wav,30
22.3,beethoven.wav,31
5.31,dual-channel.wav,31
9.69,helix.wav,31
3.09,single-channel.wav,31
8.86,speech.wav,31
0.86,sweep.wav,31
4.32,beethoven.wav,32
1.04,dual-channel.wav,32
1.85,helix.wav,32
0.95,single-channel.wav,32
2.23,speech.wav,32
0.37,sweep.wav,32
