time,workload,config_id
1.71,cranium,80
6.27,cubus,80
2.04,flame,80
2.96,france,80
4.58,frisco,80
1.42,jelly,80
8.51,karte,80
1.17,mandelbrot,80
1.44,strawberry,80
2.19,village,80
1.22,corona,81
1.7,cranium,81
6.19,cubus,81
2.05,flame,81
2.92,france,81
4.39,frisco,81
1.42,jelly,81
8.34,karte,81
1.15,mandelbrot,81
1.52,strawberry,81
2.16,village,81
1.25,corona,82
2.97,cranium,82
5.89,cubus,82
1.69,flame,82
5.77,france,82
6.0,frisco,82
1.94,jelly,82
9.0,karte,82
1.43,mandelbrot,82
1.94,strawberry,82
3.24,village,82
1.19,corona,83
2.85,cranium,83
5.48,cubus,83
1.52,flame,83
5.23,france,83
5.63,frisco,83
1.87,jelly,83
8.59,karte,83
1.21,mandelbrot,83
1.84,strawberry,83
3.05,village,83
1.25,corona,84
1.76,cranium,84
6.38,cubus,84
2.03,flame,84
2.9,france,84
4.65,frisco,84
1.55,jelly,84
8.37,karte,84
1.22,mandelbrot,84
1.54,strawberry,84
2.56,village,84
1.32,corona,85
3.07,cranium,85
7.06,cubus,85
2.1,flame,85
5.54,france,85
6.22,frisco,85
2.08,jelly,85
9.63,karte,85
1.32,mandelbrot,85
2.02,strawberry,85
3.33,village,85
1.19,corona,86
1.82,cranium,86
6.46,cubus,86
2.11,flame,86
2.89,france,86
4.62,frisco,86
1.47,jelly,86
8.65,karte,86
1.21,mandelbrot,86
1.55,strawberry,86
2.17,village,86
1.2,corona,87
1.74,cranium,87
6.22,cubus,87
2.06,flame,87
2.87,france,87
4.81,frisco,87
1.49,jelly,87
8.34,karte,87
1.18,mandelbrot,87
1.5,strawberry,87
2.51,village,87
1.17,corona,88
1.71,cranium,88
6.3,cubus,88
2.01,flame,88
2.87,france,88
4.69,frisco,88
1.49,jelly,88
8.37,karte,88
1.18,mandelbrot,88
1.53,strawberry,88
2.44,village,88
1.21,corona,89
1.7,cranium,89
6.15,cubus,89
1.96,flame,89
2.9,france,89
4.44,frisco,89
1.42,jelly,89
8.35,karte,89
1.16,mandelbrot,89
1.46,strawberry,89
2.11,village,89
1.25,corona,90
3.14,cranium,90
5.99,cubus,90
1.73,flame,90
5.87,france,90
6.06,frisco,90
2.03,jelly,90
9.53,karte,90
1.44,mandelbrot,90
1.98,strawberry,90
3.3,village,90
1.31,corona,91
3.17,cranium,91
7.31,cubus,91
2.35,flame,91
5.69,france,91
6.64,frisco,91
2.12,jelly,91
10.32,karte,91
1.49,mandelbrot,91
2.14,strawberry,91
3.44,village,91
1.16,corona,92
1.62,cranium,92
6.02,cubus,92
1.93,flame,92
2.7,france,92
4.27,frisco,92
1.4,jelly,92
8.17,karte,92
1.14,mandelbrot,92
1.41,strawberry,92
2.06,village,92
1.07,corona,93
1.65,cranium,93
5.86,cubus,93
1.88,flame,93
2.65,france,93
4.26,frisco,93
1.33,jelly,93
7.96,karte,93
1.11,mandelbrot,93
1.39,strawberry,93
2.0,village,93
1.11,corona,94
1.54,cranium,94
4.61,cubus,94
1.33,flame,94
2.75,france,94
4.02,frisco,94
1.33,jelly,94
7.66,karte,94
1.21,mandelbrot,94
1.29,strawberry,94
2.19,village,94
1.12,corona,95
1.64,cranium,95
5.98,cubus,95
1.91,flame,95
2.65,france,95
4.25,frisco,95
1.4,jelly,95
8.13,karte,95
1.15,mandelbrot,95
1.39,strawberry,95
2.06,village,95
1.16,corona,96
1.69,cranium,96
6.08,cubus,96
2.08,flame,96
2.8,france,96
4.55,frisco,96
1.43,jelly,96
8.45,karte,96
1.14,mandelbrot,96
1.48,strawberry,96
2.13,village,96
1.07,corona,97
1.5,cranium,97
4.8,cubus,97
1.4,flame,97
2.73,france,97
3.79,frisco,97
1.27,jelly,97
7.58,karte,97
1.11,mandelbrot,97
1.31,strawberry,97
1.79,village,97
1.17,corona,98
1.68,cranium,98
6.15,cubus,98
2.06,flame,98
2.79,france,98
4.56,frisco,98
1.47,jelly,98
8.29,karte,98
1.19,mandelbrot,98
1.48,strawberry,98
2.11,village,98
1.36,corona,99
1.79,cranium,99
6.33,cubus,99
2.05,flame,99
2.9,france,99
4.64,frisco,99
1.56,jelly,99
8.37,karte,99
1.19,mandelbrot,99
1.59,strawberry,99
2.45,village,99
1.27,corona,100
1.84,cranium,100
6.47,cubus,100
2.1,flame,100
2.94,france,100
4.71,frisco,100
1.55,jelly,100
8.64,karte,100
1.18,mandelbrot,100
1.59,strawberry,100
2.53,village,100
1.07,corona,101
1.49,cranium,101
4.56,cubus,101
1.28,flame,101
2.74,france,101
3.81,frisco,101
1.32,jelly,101
7.47,karte,101
1.1,mandelbrot,101
1.32,strawberry,101
2.15,village,101
1.04,corona,102
1.43,cranium,102
4.39,cubus,102
1.24,flame,102
2.56,france,102
3.6,frisco,102
1.25,jelly,102
7.17,karte,102
1.11,mandelbrot,102
1.18,strawberry,102
2.01,village,102
0.94,corona,103
1.39,cranium,103
4.3,cubus,103
1.23,flame,103
2.54,france,103
3.52,frisco,103
1.14,jelly,103
7.21,karte,103
1.07,mandelbrot,103
1.13,strawberry,103
1.69,village,103
3.18,corona,104
2.33,cranium,104
8.65,cubus,104
2.53,flame,104
4.06,france,104
6.76,frisco,104
3.91,jelly,104
18.49,karte,104
1.69,mandelbrot,104
2.43,strawberry,104
17.5,village,104
2.98,corona,105
2.38,cranium,105
8.28,cubus,105
2.5,flame,105
4.03,france,105
6.37,frisco,105
3.75,jelly,105
18.86,karte,105
1.71,mandelbrot,105
2.39,strawberry,105
16.77,village,105
1.08,corona,106
1.47,cranium,106
4.54,cubus,106
1.31,flame,106
2.7,france,106
3.59,frisco,106
1.24,jelly,106
7.49,karte,106
1.17,mandelbrot,106
1.19,strawberry,106
1.78,village,106
1.23,corona,107
1.68,cranium,107
6.0,cubus,107
1.91,flame,107
2.75,france,107
4.51,frisco,107
1.46,jelly,107
8.2,karte,107
1.17,mandelbrot,107
1.51,strawberry,107
2.41,village,107
1.06,corona,108
1.44,cranium,108
4.32,cubus,108
1.24,flame,108
2.62,france,108
3.68,frisco,108
1.26,jelly,108
7.22,karte,108
1.1,mandelbrot,108
1.22,strawberry,108
2.01,village,108
1.24,corona,109
2.99,cranium,109
5.69,cubus,109
1.55,flame,109
5.63,france,109
5.63,frisco,109
1.94,jelly,109
9.02,karte,109
1.25,mandelbrot,109
1.93,strawberry,109
3.13,village,109
1.26,corona,110
1.79,cranium,110
6.45,cubus,110
2.09,flame,110
2.97,france,110
4.66,frisco,110
1.48,jelly,110
8.59,karte,110
1.17,mandelbrot,110
1.56,strawberry,110
2.48,village,110
1.15,corona,111
1.71,cranium,111
5.99,cubus,111
1.93,flame,111
2.78,france,111
4.39,frisco,111
1.47,jelly,111
8.11,karte,111
1.17,mandelbrot,111
1.49,strawberry,111
2.38,village,111
1.14,corona,112
2.82,cranium,112
5.32,cubus,112
1.49,flame,112
5.32,france,112
5.5,frisco,112
1.88,jelly,112
8.68,karte,112
1.22,mandelbrot,112
1.85,strawberry,112
3.01,village,112
1.19,corona,113
2.86,cranium,113
5.38,cubus,113
1.56,flame,113
5.36,france,113
5.54,frisco,113
1.86,jelly,113
8.76,karte,113
1.2,mandelbrot,113
1.89,strawberry,113
3.07,village,113
1.0,corona,114
1.36,cranium,114
4.25,cubus,114
1.24,flame,114
2.46,france,114
3.38,frisco,114
1.17,jelly,114
7.16,karte,114
1.08,mandelbrot,114
1.14,strawberry,114
1.7,village,114
1.2,corona,115
1.76,cranium,115
6.48,cubus,115
2.06,flame,115
2.92,france,115
5.06,frisco,115
1.49,jelly,115
8.57,karte,115
1.2,mandelbrot,115
1.5,strawberry,115
2.17,village,115
1.08,corona,116
1.5,cranium,116
4.72,cubus,116
1.4,flame,116
2.66,france,116
4.11,frisco,116
1.36,jelly,116
7.64,karte,116
1.13,mandelbrot,116
1.31,strawberry,116
2.16,village,116
1.34,corona,117
1.8,cranium,117
6.69,cubus,117
2.1,flame,117
3.24,france,117
4.76,frisco,117
1.53,jelly,117
12.47,karte,117
