time,workload,config_id
0.42,png-small,32
24.07,psd-large,32
1.14,psd-medium,32
0.55,psd-small,32
1.48,svg-large,32
1.46,svg-medium,32
0.59,svg-small,32
4.85,jpeg-large,33
2.46,jpeg-medium,33
0.43,jpeg-small,33
3.18,png-large,33
0.72,png-medium,33
0.48,png-small,33
54.87,psd-large,33
1.57,psd-medium,33
0.59,psd-small,33
1.47,svg-large,33
1.53,svg-medium,33
0.62,svg-small,33
3.36,jpeg-large,34
1.8,jpeg-medium,34
0.45,jpeg-small,34
2.31,png-large,34
0.66,png-medium,34
0.5,png-small,34
54.75,psd-large,34
1.3,psd-medium,34
0.63,psd-small,34
1.46,svg-large,34
1.57,svg-medium,34
0.5,svg-small,34
3.25,jpeg-large,35
1.74,jpeg-medium,35
0.46,jpeg-small,35
2.34,png-large,35
0.65,png-medium,35
0.49,png-small,35
54.71,psd-large,35
1.31,psd-medium,35
0.6,psd-small,35
1.46,svg-large,35
1.57,svg-medium,35
0.5,svg-small,35
3.34,jpeg-large,36
1.81,jpeg-medium,36
0.46,jpeg-small,36
2.42,png-large,36
0.64,png-medium,36
0.48,png-small,36
54.68,psd-large,36
1.31,psd-medium,36
0.55,psd-small,36
1.48,svg-large,36
1.55,svg-medium,36
0.51,svg-small,36
3.26,jpeg-large,37
1.77,jpeg-medium,37
0.44,jpeg-small,37
2.43,png-large,37
0.65,png-medium,37
0.47,png-small,37
54.58,psd-large,37
1.32,psd-medium,37
0.58,psd-small,37
1.45,svg-large,37
1.56,svg-medium,37
0.53,svg-small,37
3.42,jpeg-large,38
1.84,jpeg-medium,38
0.44,jpeg-small,38
2.4,png-large,38
0.66,png-medium,38
0.49,png-small,38
58.81,psd-large,38
1.29,psd-medium,38
0.56,psd-small,38
1.51,svg-large,38
1.57,svg-medium,38
0.51,svg-small,38
5.27,jpeg-large,39
2.52,jpeg-medium,39
0.43,jpeg-small,39
3.4,png-large,39
0.76,png-medium,39
0.5,png-small,39
55.35,psd-large,39
1.69,psd-medium,39
0.59,psd-small,39
1.56,svg-large,39
1.57,svg-medium,39
0.61,svg-small,39
4.75,jpeg-large,40
2.46,jpeg-medium,40
0.5,jpeg-small,40
3.15,png-large,40
0.74,png-medium,40
0.49,png-small,40
54.99,psd-large,40
1.56,psd-medium,40
