n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
3000,25,27366.25430982074,350,X_2==8 AND X_11==0 AND X_8==1 AND X_0==2,X_14==0 AND X_16==0 AND X_18==0 AND X_19==0 AND X_20==1 AND X_24==0 AND X_9==0,4,0.0159151193633952,0.1111111111111111,0.0085714285714285,61,638.3730380535126
10000,25,48578.73736251011,1563,X_13==1 AND X_16==0 AND X_19==1 AND X_17==1,X_13==1 AND X_16==0 AND X_17==1 AND X_19==1,0,1.0,1.0,1.0,61,8.494385242462158
1000,25,41019.14904124949,154,X_23==0 AND X_22==0 AND X_9==1 AND X_14==0,X_14==0 AND X_22==0 AND X_23==0 AND X_9==1,0,1.0,1.0,1.0,62,21.06845736503601
3000,25,40898.62033592184,457,X_22==0 AND X_11==0 AND X_14==0 AND X_24==1,X_11==0 AND X_14==0 AND X_22==0 AND X_24==1,0,1.0,1.0,1.0,62,36.7835054397583
10000,25,25291.12000817708,1234,X_7==0 AND X_0==4 AND X_13==0 AND X_20==1,X_20==0,0,0.0,0.0,0.0,62,5789.140738248825
1000,25,36101.03609958874,167,X_13==0 AND X_19==1 AND X_14==0 AND X_15==0,X_20==1 AND X_22==0 AND X_5==1 AND X_6==1 AND X_7==1 AND X_9==1,2,0.0220994475138121,0.1428571428571428,0.0119760479041916,63,68.02528762817383
3000,25,25510.198475471563,477,X_6==1 AND X_16==1 AND X_22==1 AND X_20==0,X_0==2 AND X_10==1 AND X_13==1 AND X_14==0 AND X_6==0 AND X_9==0,0,0.0,0.0,0.0,63,605.4248988628387
10000,25,32291.35254363401,1573,X_11==1 AND X_19==0 AND X_21==0 AND X_23==0,X_0==1 AND X_13==0 AND X_14==1 AND X_15==0 AND X_16==0 AND X_17==0 AND X_18==1 AND X_21==1,0,0.0,0.0,0.0,63,6577.459066390991
30000,25,46035.64845774684,4691,X_24==1 AND X_20==0 AND X_17==1 AND X_16==0,X_16==0 AND X_17==1 AND X_20==0 AND X_24==1,0,1.0,1.0,1.0,63,23.09489727020264
100000,25,47794.262672882985,10900,X_3==4 AND X_2==4 AND X_19==1 AND X_17==0,X_17==0 AND X_19==1 AND X_2==4 AND X_3==4,0,1.0,1.0,1.0,63,246.42780184745789
300000,25,47867.40988345828,32663,X_4==4 AND X_3==8 AND X_10==0 AND X_11==0,X_10==0 AND X_11==0 AND X_3==8 AND X_4==4,0,1.0,1.0,1.0,63,198.96422123909
