config_id,workload,time,max-resident-set-size
21,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.96,41032
22,QF_UFLIA_xs_23_43.smt2,36.39,604088
22,LRA_formula_277.smt2,1.78,34576
22,QF_AUFBV_891_sqlite3.smt2,50.97,1000080
22,QF_NRA_hong_9.smt2,5.68,40024
22,QF_BV_bench_3176.smt2,40.3,636156
22,AUFNIRA_z3.637557.smt2,324.39,2773672
22,QF_LIA_tightrhombus,4.71,37152
22,QF_BV_bench_935.smt2,28.53,502216
22,QF_UF_PEQ018_size6.smt2,208.31,1139032
22,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.21,184880
22,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.23,40940
22,QF_RDL_orb08_888.smt2,9.03,75468
23,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.19,184884
23,LRA_formula_277.smt2,1.83,34588
23,QF_UF_PEQ018_size6.smt2,207.11,1139128
23,QF_NRA_hong_9.smt2,5.69,39980
23,QF_BV_bench_935.smt2,28.57,502132
23,QF_AUFBV_891_sqlite3.smt2,50,998892
23,QF_BV_bench_3176.smt2,39.09,636064
23,QF_LIA_tightrhombus,4.71,37156
23,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.33,40932
23,QF_UFLIA_xs_23_43.smt2,36.61,604244
23,AUFNIRA_z3.637557.smt2,323.16,2775676
23,QF_RDL_orb08_888.smt2,8.97,75384
24,AUFNIRA_z3.637557.smt2,324.57,2772988
24,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.2,184880
24,LRA_formula_277.smt2,1.78,34576
24,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.22,40936
24,QF_AUFBV_891_sqlite3.smt2,50.02,999876
24,QF_BV_bench_935.smt2,28.5,502220
24,QF_UFLIA_xs_23_43.smt2,36.78,604084
24,QF_LIA_tightrhombus,4.76,37152
24,QF_NRA_hong_9.smt2,5.68,40020
24,QF_BV_bench_3176.smt2,39.36,636488
24,QF_UF_PEQ018_size6.smt2,207.7,1138960
24,QF_RDL_orb08_888.smt2,9.02,75468
25,QF_LIA_tightrhombus,8.3,46236
25,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.31,34740
25,QF_UF_PEQ018_size6.smt2,4.32,35100
25,AUFNIRA_z3.637557.smt2,7.15,1645020
25,QF_BV_bench_3176.smt2,7.43,140700
25,QF_AUFBV_891_sqlite3.smt2,19.1,1000292
25,QF_BV_bench_935.smt2,1.95,148948
25,QF_UFLIA_xs_23_43.smt2,7.88,46716
25,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.76,33980
25,LRA_formula_277.smt2,4.53,33984
25,QF_NRA_hong_9.smt2,3.19,36740
25,QF_RDL_orb08_888.smt2,7.26,42008
26,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,34092
26,QF_UF_PEQ018_size6.smt2,4.33,35100
26,QF_NRA_hong_9.smt2,3.18,36672
26,QF_BV_bench_3176.smt2,3.29,123508
26,QF_UFLIA_xs_23_43.smt2,10.01,42760
26,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.84,35168
26,AUFNIRA_z3.637557.smt2,5.95,1599896
26,QF_AUFBV_891_sqlite3.smt2,9.85,55812
26,QF_RDL_orb08_888.smt2,7.22,42136
26,LRA_formula_277.smt2,4.13,33968
26,QF_LIA_tightrhombus,8,45328
26,QF_BV_bench_935.smt2,1.3,124724
27,QF_NRA_hong_9.smt2,3.19,36664
27,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.74,34112
27,QF_LIA_tightrhombus,8.01,45324
27,QF_AUFBV_891_sqlite3.smt2,4.35,48628
27,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.84,35168
27,LRA_formula_277.smt2,4.13,33964
