sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
random_5,155,17,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,CUDA==1 AND pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,16
random_10,310,37,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,CUDA==1 AND pixelPerThread==1 AND LocalMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,16
random_20,620,61,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,CUDA==1 AND pixelPerThread==1 AND LocalMemory==1,0,1.0,1.0,1.0,16
2-wise,382,50,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,16
3-wise,2062,232,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,16
4-wise,6799,754,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,16
full,13485,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,17
random_2,62,6,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,Array2D==0 AND pixelPerThread==3 AND TextureMemory==1 AND bs_128x1==0,0,1.0,1.0,1.0,17
random_5,155,20,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,Array2D==0 AND pixelPerThread==3 AND TextureMemory==1 AND bs_128x1==0,0,1.0,1.0,1.0,17
random_10,310,56,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,CUDA==1 AND pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,17
random_20,620,103,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,17
2-wise,369,59,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,CUDA==1 AND pixelPerThread==3 AND TextureMemory==1,0,1.0,1.0,1.0,17
3-wise,2054,350,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,17
4-wise,6803,1157,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,17
full,13485,2635,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
random_2,62,11,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
random_5,155,23,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
random_10,310,54,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
random_20,620,112,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
2-wise,373,72,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
3-wise,2034,437,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
4-wise,6741,1522,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,18
full,13485,1380,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,19
random_2,62,8,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,bs_128x2==0 AND padding==448 AND Linear2D==0 AND bs_1024x1==0,0,0.0,0.0,0.0,19
random_5,155,15,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==4 AND LocalMemory==1 AND OpenCL==0 AND TextureMemory==0,0,0.0,0.0,0.0,19
random_10,310,32,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,bs_256x2==0 AND padding==288 AND LocalMemory==0 AND TextureMemory==1,0,0.0,0.0,0.0,19
random_20,620,55,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0 AND bs_1024x1==0,2,1.0,1.0,1.0,19
2-wise,380,51,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,Array2D==0 AND bs_128x8==1 AND Ldg==1 AND pixelPerThread==4,0,0.0,0.0,0.0,19
3-wise,2043,206,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,19
4-wise,6801,671,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,19
full,13485,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,1,1.0,1.0,1.0,1
random_2,62,7,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND CUDA==1 AND padding==416 AND Linear2D==1,0,0.0,0.0,0.0,1
random_5,155,25,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND bs_64x8==1 AND Linear1D==1 AND Linear2D==0,0,0.0,0.0,0.0,1
random_10,310,48,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,padding==256 AND pixelPerThread==2 AND Linear2D==0 AND TextureMemory==1,0,0.0,0.0,0.0,1
random_20,620,96,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,padding==64 AND Ldg==0 AND pixelPerThread==3 AND LocalMemory==1,0,0.0,0.0,0.0,1
2-wise,376,68,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND bs_64x4==1 AND Linear1D==1 AND TextureMemory==1,0,0.0,0.0,0.0,1
3-wise,2031,383,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,1
4-wise,6792,1208,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,1
full,13485,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,20
random_2,62,12,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,bs_256x1==0 AND bs_32x1==0 AND bs_64x1==0 AND pixelPerThread==1,0,0.96,0.9230769230769232,1.0,20
