sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
random_20,320,37,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND HAVE_REPLICATION AND HAVE_CRYPTO,0,1.0,1.0,1.0,13
2-wise,64,2,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,PAGESIZE <= 12.0 AND HAVE_REPLICATION.1 AND NOT HAVE_STATISTICS AND CACHESIZE <= 48.0,0,0.0,0.0,0.0,13
3-wise,202,11,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,PAGESIZE > 2.5,3,0.0919540229885057,0.0490797546012269,0.7272727272727273,13
4-wise,439,29,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND HAVE_REPLICATION AND HAVE_CRYPTO,0,1.0,1.0,1.0,13
full,2560,280,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND HAVE_STATISTICS AND DIAGNOSTIC,0,1.0,1.0,1.0,14
random_2,32,4,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_CRYPTO AND HAVE_VERIFY AND NOT HAVE_SEQUENCE AND PAGESIZE > 20.0,0,0.0,0.0,0.0,14
random_5,80,7,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,NOT HAVE_STATISTICS.1,4,0.1627906976744186,0.0886075949367088,1.0,14
random_10,160,18,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND DIAGNOSTIC AND HAVE_STATISTICS,0,1.0,1.0,1.0,14
random_20,320,38,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND HAVE_STATISTICS AND DIAGNOSTIC,0,1.0,1.0,1.0,14
2-wise,60,5,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND PAGESIZE <= 12.0 AND DIAGNOSTIC AND HAVE_STATISTICS,4,0.5714285714285715,1.0,0.4,14
3-wise,197,17,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND HAVE_STATISTICS AND DIAGNOSTIC,0,1.0,1.0,1.0,14
4-wise,441,39,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND DIAGNOSTIC AND HAVE_STATISTICS,0,1.0,1.0,1.0,14
full,2560,320,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,NOT HAVE_REPLICATION.1,0,0.25,0.1428571428571428,1.0,15
random_2,32,5,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,PAGESIZE > 2.5 AND PAGESIZE <= 6.0 AND NOT HAVE_CRYPTO AND CACHESIZE > 48.0,0,0.0,0.0,0.0,15
random_5,80,7,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,PAGESIZE > 12.0 AND NOT HAVE_REPLICATION.1,4,0.0869565217391304,0.0625,0.1428571428571428,15
random_10,160,23,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND CACHESIZE > 288.0 AND PAGESIZE <= 2.5 AND HAVE_STATISTICS,3,0.3571428571428571,1.0,0.217391304347826,15
random_20,320,42,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND HAVE_REPLICATION AND PAGESIZE <= 2.5 AND CACHESIZE > 48.0,1,0.0784313725490196,0.2222222222222222,0.0476190476190476,15
2-wise,58,4,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,CACHESIZE <= 48.0 AND HAVE_VERIFY.1 AND PAGESIZE <= 24.0,0,0.0,0.0,0.0,15
3-wise,205,13,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,PAGESIZE <= 2.5 AND NOT HAVE_STATISTICS.1 AND NOT DIAGNOSTIC.1,4,0.1818181818181818,0.1290322580645161,0.3076923076923077,15
4-wise,435,28,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,CACHESIZE > 24.0 AND HAVE_SEQUENCE,3,0.3108108108108108,0.1916666666666666,0.8214285714285714,15
full,2560,320,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,16
random_2,32,3,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT HAVE_STATISTICS AND HAVE_VERIFY AND DIAGNOSTIC,4,1.0,1.0,1.0,16
random_5,80,10,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT HAVE_HASH AND DIAGNOSTIC AND HAVE_CRYPTO AND HAVE_VERIFY,0,0.6666666666666666,1.0,0.5,16
random_10,160,22,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC AND NOT HAVE_HASH.1 AND HAVE_VERIFY AND HAVE_CRYPTO,0,1.0,1.0,1.0,16
random_20,320,32,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,16
2-wise,59,5,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND PAGESIZE <= 24.0 AND CACHESIZE <= 288.0 AND PAGESIZE > 2.5,0,0.888888888888889,1.0,0.8,16
3-wise,200,12,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND HAVE_CRYPTO AND DIAGNOSTIC,0,1.0,1.0,1.0,16
4-wise,444,33,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND DIAGNOSTIC AND HAVE_VERIFY,0,1.0,1.0,1.0,16
full,2560,320,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_VERIFY AND NOT HAVE_HASH.1,0,1.0,1.0,1.0,17
random_2,32,4,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT HAVE_REPLICATION.1 AND NOT HAVE_STATISTICS AND HAVE_SEQUENCE AND PAGESIZE <= 6.0,0,0.0,0.0,0.0,17
random_5,80,9,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT DIAGNOSTIC AND CACHESIZE <= 48.0 AND PAGESIZE <= 12.0,4,0.0909090909090909,0.0769230769230769,0.1111111111111111,17
random_10,160,13,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,PAGESIZE > 6.0 AND HAVE_CRYPTO AND HAVE_SEQUENCE AND NOT DIAGNOSTIC,0,0.0,0.0,0.0,17
random_20,320,30,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_VERIFY AND NOT HAVE_HASH.1,0,1.0,1.0,1.0,17
2-wise,59,3,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT HAVE_CRYPTO AND NOT DIAGNOSTIC.1 AND HAVE_VERIFY AND PAGESIZE > 6.0,0,0.0,0.0,0.0,17
3-wise,200,10,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,PAGESIZE <= 24.0,1,0.0919540229885057,0.048780487804878,0.8,17
4-wise,439,28,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,CACHESIZE <= 288.0 AND HAVE_HASH AND HAVE_REPLICATION AND HAVE_VERIFY,1,0.7555555555555554,1.0,0.6071428571428571,17
full,2560,320,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND DIAGNOSTIC AND HAVE_REPLICATION,0,1.0,1.0,1.0,18
random_2,32,8,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,NOT DIAGNOSTIC.1 AND NOT HAVE_HASH.1 AND CACHESIZE > 48.0,3,0.3478260869565218,0.2666666666666666,0.5,18
random_5,80,14,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_REPLICATION AND PAGESIZE > 2.5 AND CACHESIZE > 48.0,3,0.2105263157894736,0.4,0.1428571428571428,18
random_10,160,18,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,NOT DIAGNOSTIC.1 AND CACHESIZE > 288.0 AND DIAGNOSTIC,2,0.2962962962962963,0.4444444444444444,0.2222222222222222,18
random_20,320,40,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_CRYPTO,1,0.6504065040650406,0.4819277108433735,1.0,18
2-wise,62,3,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,NOT HAVE_SEQUENCE AND NOT HAVE_REPLICATION.1 AND NOT HAVE_VERIFY.1 AND PAGESIZE <= 24.0,0,0.064516129032258,0.0357142857142857,0.3333333333333333,18
3-wise,207,18,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,CACHESIZE > 288.0 AND NOT HAVE_STATISTICS AND NOT DIAGNOSTIC.1,0,0.0,0.0,0.0,18
4-wise,451,30,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,PAGESIZE <= 24.0 AND PAGESIZE <= 12.0,4,0.1212121212121212,0.0674157303370786,0.6,18
full,2560,320,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_VERIFY AND NOT HAVE_HASH.1,0,1.0,1.0,1.0,19
random_2,32,4,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_CRYPTO AND CACHESIZE > 24.0 AND PAGESIZE <= 24.0,4,0.6666666666666665,0.6,0.75,19
